"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00018",50.8679592586863,1.31495708666045,0.260740393091656,5.04316600534624,4.57891671415958e-07,7.67634166472809e-07
"AENJPLPP_00021",29.4981295352233,1.4291918192858,0.353655048549954,4.04120293247821,5.31777149192936e-05,8.22813527337847e-05
"AENJPLPP_00022",4020.52166085851,3.33809915067905,0.0917779641630053,36.3714665183715,1.20318606505274e-289,1.94648767857421e-288
"AENJPLPP_00024",4749.71969869159,2.94292068619072,0.0964626226027659,30.5084042584006,2.01602693140977e-204,2.25795016317894e-203
"AENJPLPP_00028",187.37310493203,1.31268845529014,0.143892369125495,9.12271069875346,7.32683546851991e-20,1.71509203250241e-19
"AENJPLPP_00029",348.154219571964,1.72019760114287,0.11380980918743,15.1146690555463,1.29620655218331e-51,4.97306123841606e-51
"AENJPLPP_00032",8795.80767644608,1.38606642724216,0.0564308050919183,24.5622302390413,3.20140002652528e-133,2.4214225655173e-132
"AENJPLPP_00034",356.653811745678,-1.0830155491453,0.111189962179088,-9.74022769610215,2.03098765785273e-22,4.96577334984648e-22
"AENJPLPP_00039",1092.15666766966,2.8698401495346,0.0972990062184439,29.495061266007,3.33100092395512e-191,3.47665759518183e-190
"AENJPLPP_00040",791.807366255446,1.89284749668908,0.0850260092734433,22.261982102461,8.63442596693477e-110,5.51391412625308e-109
"AENJPLPP_00041",761.87319799565,2.22737444833744,0.124727729764615,17.8578929684756,2.50934683239312e-71,1.18239773073281e-70
"AENJPLPP_00042",69.8296692127682,2.71302699740321,0.27148038287929,9.9934550284229,1.6280609186053e-23,4.06596346053057e-23
"AENJPLPP_00043",183.607635996949,1.72868182904686,0.152753318939285,11.3168200930152,1.08330479383892e-29,2.97602222609334e-29
"AENJPLPP_00044",3365.12597525117,2.32855628710793,0.0617879012080016,37.6862822912389,0,0
"AENJPLPP_00045",943.539441494882,2.21245122725637,0.0904363582979085,24.4641786654907,3.55568648745653e-132,2.65491257730087e-131
"AENJPLPP_00046",1109.18376805869,2.07125214618663,0.083186407326169,24.8989253504526,7.64226004509354e-137,5.95033723297123e-136
"AENJPLPP_00047",1284.97268769506,2.36759336685234,0.0825734120653523,28.6725873090786,8.38399696865648e-181,8.13806639090922e-180
"AENJPLPP_00048",190.371667242141,2.25634360379947,0.163795227354376,13.7753928502312,3.58427992208052e-43,1.21365385268587e-42
"AENJPLPP_00049",57.3466897515154,1.96161426499914,0.263262833143657,7.45116293696012,9.25210101324426e-14,1.88538265574299e-13
"AENJPLPP_00050",84.8454573572932,1.72915223453437,0.219088563797763,7.89248057753725,2.96238444718405e-15,6.27379164378179e-15
"AENJPLPP_00051",608.389339675888,1.5346668185594,0.0986280502703831,15.5601455605399,1.35789736760348e-54,5.35074037139558e-54
"AENJPLPP_00052",157.928361373246,1.56932414216706,0.157428498155183,9.96848830140094,2.09391484337488e-23,5.21581329924878e-23
"AENJPLPP_00053",152.651193825521,1.38382711301542,0.165206387464827,8.37635356750381,5.45927439312088e-17,1.19980430435985e-16
"AENJPLPP_00056",895.551016364475,1.93495243865099,0.0862098475037369,22.444679983538,1.44238107427939e-111,9.39645120425412e-111
